RegionName,Median Household Income,Rank
"Crowley County, Colorado","40,685","2,997"
"Esmeralda County, Nevada","40,694","2,996"
"Socorro County, New Mexico","40,699","2,995"
"Taylor County, Georgia","40,727","2,994"
"Wilkinson County, Georgia","40,757","2,993"
"Sabine Parish, Louisiana","40,777","2,992"
"Edwards County, Texas","40,809","2,991"
"Mississippi County, Missouri","40,833","2,990"
"Williamsburg County, South Carolina","40,848","2,989"
"Menard County, Texas","40,945","2,988"
"Sharkey County, Mississippi","41,000","2,987"
"Orangeburg County, South Carolina","41,020","2,986"
"Pulaski County, Illinois","41,038","2,985"
"Glacier County, Montana","41,078","2,984"
"Lawrence County, Mississippi","41,096","2,983"
"Franklin Parish, Louisiana","41,129","2,982"
"Escambia County, Alabama","41,153","2,981"
"Clinton County, Kentucky","41,180","2,980"
"Sioux County, North Dakota","41,201","2,979"
"Macon County, Alabama","41,206","2,978"
"Pike County, Kentucky","41,271","2,977"
"Roane County, West Virginia","41,299","2,976"
"Natchitoches Parish, Louisiana","41,310","2,975"
"Oregon County, Missouri","41,365","2,974"
"Mellette County, South Dakota","41,397","2,973"
"Emporia City, Virginia","41,442","2,972"
"Danville City, Virginia","41,484","2,971"
"Calhoun County, Florida","41,526","2,970"
"Clay County, West Virginia","41,530","2,969"
"Wayne County, Kentucky","41,583","2,968"
"Cochran County, Texas","41,597","2,967"
"Lee County, Virginia","41,619","2,966"
"Halifax County, North Carolina","41,629","2,965"
"Bertie County, North Carolina","41,652","2,964"
"Tunica County, Mississippi","41,676","2,963"
"Pocahontas County, West Virginia","41,680","2,962"
"Union County, New Mexico","41,714","2,961"
"Jeff Davis County, Georgia","41,780","2,960"
"Monroe County, Arkansas","41,786","2,959"
"Telfair County, Georgia","41,801","2,958"
"Washington Parish, Louisiana","41,803","2,957"
"Yazoo County, Mississippi","41,867","2,956"
"Choctaw County, Mississippi","41,887","2,955"
"Jackson County, Arkansas","41,929","2,954"
"Foard County, Texas","41,944","2,953"
"Scotland County, North Carolina","41,948","2,952"
"Anson County, North Carolina","42,000","2,951"
"Searcy County, Arkansas","42,063","2,950"
"Alleghany County, North Carolina","42,115","2,948"
"Baca County, Colorado","42,115","2,948"
"Casey County, Kentucky","42,190","2,947"
"Logan County, West Virginia","42,194","2,946"
"Braxton County, West Virginia","42,245","2,945"
"Brooks County, Georgia","42,263","2,944"
"Pushmataha County, Oklahoma","42,274","2,943"
"Warren County, North Carolina","42,282","2,942"
"Carroll County, Mississippi","42,285","2,941"
"Jim Hogg County, Texas","42,292","2,940"
"Noxubee County, Mississippi","42,298","2,939"
"Union County, South Carolina","42,305","2,938"
"Richmond County, North Carolina","42,354","2,937"
"Jackson County, Tennessee","42,357","2,936"
"Claiborne County, Tennessee","42,406","2,935"
"Dillon County, South Carolina","42,454","2,934"
"Barnwell County, South Carolina","42,470","2,932"
"Johnson County, Arkansas","42,470","2,932"
"Lawrence County, Kentucky","42,488","2,931"
"Ripley County, Missouri","42,541","2,930"
"Pulaski County, Georgia","42,545","2,929"
"Pike County, Alabama","42,616","2,928"
"Kusilvak Census Area, Alaska","42,663","2,927"
"Kiowa County, Oklahoma","42,679","2,926"
"Attala County, Mississippi","42,680","2,925"
"Terry County, Texas","42,694","2,924"
"Latimer County, Oklahoma","42,735","2,923"
"Wayne County, Missouri","42,758","2,922"
"Willacy County, Texas","42,839","2,921"
"Texas County, Missouri","42,870","2,920"
"Marion County, Arkansas","42,891","2,919"
"Buffalo County, South Dakota","42,917","2,918"
"Kemper County, Mississippi","42,947","2,917"
"Oktibbeha County, Mississippi","42,953","2,916"
"Marengo County, Alabama","42,975","2,915"
"Summers County, West Virginia","42,991","2,914"
"Lenoir County, North Carolina","43,063","2,913"
"Stewart County, Georgia","43,094","2,912"
"Columbus County, North Carolina","43,206","2,911"
"Seminole County, Oklahoma","43,239","2,910"
"Choctaw County, Oklahoma","43,252","2,909"
"Clay County, Georgia","43,264","2,908"
"Appling County, Georgia","43,268","2,907"
"Choctaw County, Alabama","43,299","2,906"
"Sharp County, Arkansas","43,332","2,905"
"Hooker County, Nebraska","43,333","2,904"
