RegionName,StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"San Diego, CA",CA,224077.1217,257671.4967,292934.7934,347058.8696,407326.2015,518911.7711,555087.386,539510.5101,484223.8199,387798.9206,376557.2325,369584.0432,349607.8628,380351.8168,445403.6003,476011.5747,517503.7385,549739.9601,592561.0734,608001.1755,619930.9971,698946.7543,827036.457,875418.5976,950385.8319
"Tampa, FL",FL,103598.3822,111537.4667,121792.2378,134053.2313,149668.1079,174289.9503,217897.4753,235018.0269,208306.0426,167102.5451,144164.1053,133696.8252,120962.6894,129220.7497,149326.0053,161230.0952,177641.3224,195472.1546,213341.6084,227558.614,239874.4844,266755.8753,334622.0641,381980.3253,390076.2813
"Denver, CO",CO,192765.3505,219057.3899,238232.7938,245167.0287,247959.5403,253610.8437,258840.0236,258077.4599,252009.2123,241141.8648,240331.3945,234670.5524,229308.1281,248559.666,273797.5978,300922.6592,342538.3952,374413.6481,401695.6848,423983.533,441886.4087,483668.7195,569192.1022,591951.4769,595809.3609
"Baltimore, MD",MD,142228.1155,148485.9543,157756.6151,175996.205,201487.8862,241489.2255,288659.4622,309577.4297,304864.3068,279224.7886,259776.8374,246718.929,234114.0821,242836.9645,255524.9407,261324.8721,267358.956,273987.9083,282039.4417,289460.7311,299332.8929,322871.3986,352743.8621,367192.1521,381320.6342
"St. Louis, MO",MO,110243.5749,117406.2616,125460.3071,134109.5661,144305.8924,152785.5366,161465.2949,166257.7626,164638.933,157764.4818,152946.8165,147012.464,137315.8478,137641.2399,140285.4587,144702.9757,151843.5911,158311.1713,165961.1826,172393.6918,179880.0942,198808.869,217036.322,232718.277,245724.7673
"Orlando, FL",FL,123313.3144,131841.7966,141803.3827,152200.4516,165470.4942,191734.7465,254531.7628,279376.7487,252113.8058,190645.363,156111.5819,141561.6214,131306.8337,142872.7605,169158.1851,183904.0147,198663.3865,214874.8193,233233.8555,250898.2504,263948.9568,286485.9594,344108.1736,395648.291,406356.0192
"Charlotte, NC",NC,141038.803,146939.1048,150698.9402,152418.5638,154620.831,157371.4594,162726.5557,170993.127,178465.1815,170802.8942,162595.1529,153331.2291,144615.5122,148517.9915,159251.4191,166392.1677,179604.5551,194041.1068,210499.0213,224813.6214,238069.2931,268936.7093,329482.5323,363630.1453,374386.1369
"San Antonio, TX",TX,112866.6638,110875.8155,109537.2321,113460.5117,116523.0793,127716.9048,132595.8289,142384.9331,149094.1706,145342.154,141354.8996,139454.6193,135776.7408,140217.7768,148547.919,159095.6649,172273.2834,182818.6336,193843.4571,203644.8656,212459.1225,230902.6961,272389.3365,295875.8967,286643.2923
"Portland, OR",OR,173532.9298,178927.0209,185390.4334,193631.4695,205267.3678,224823.5788,271844.0386,306728.1458,310192.1487,280416.2591,257645.6932,241105.9757,223233.4074,236844.807,266285.8789,287803.2036,326945.0445,364742.255,387634.5616,401877.7145,415755.3742,459278.6193,530846.6256,540449.5388,545705.8909
"Sacramento, CA",CA,168042.9778,189481.2424,223649.7522,259065.6801,300827.582,372926.2763,435103.0528,409102.0883,352955.6917,273856.5268,244574.2712,232229.0666,210234.8008,231959.1698,293325.2651,313863.2639,340689.282,367748.2021,399974.8185,417158.387,433730.2729,479067.0416,567820.321,566151.7233,570917.4873
